# This is just a note with all the xsec used for the different Catalogs.
# If you want to change some xsec, you have to change it in the corresponding Catalog (and here to keep it organized).

# Global tag : RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic*

# Sample                                                                                              xsec (pb) 

DYJetsToMuMu_M-50_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos       					   1976
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8                                                                       88.29
ZZ_TuneCP5_13TeV-pythia8										     12.17
WZ_TuneCP5_13TeV-pythia8                                                                                     27.59
WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8                                                                       11.09
DYJetsToTauTau_M-50_AtLeastOneEorMuDecay_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos                         1976
WJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-pythia8								  67350.0
ST_s-channel_4f_leptonDecays_TuneCP5_13TeV-amcatnlo-pythia8						     10.32
ST_t-channel_antitop_4f_InclusiveDecays_TuneCP5_13TeV-powheg-madspin-pythia8				     69.09
ST_t-channel_top_4f_InclusiveDecays_TuneCP5_13TeV-powheg-madspin-pythia8                                    115.3
ST_tW_antitop_5f_inclusiveDecays_TuneCP5_13TeV-powheg-pythia8                                                35.85
ST_tW_top_5f_inclusiveDecays_TuneCP5_13TeV-powheg-pythia8						     35.85
