#Data tag : v1 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+------+----------------+---------------+
| 273158:4915 | 05/11/16 20:42:35 | 1279 | 1279 | 0.054          | 0.050         |
| 273302:4919 | 05/13/16 02:13:38 | 459  | 459  | 0.017          | 0.016         |
| 273402:4924 | 05/14/16 01:49:19 | 193  | 193  | 0.007          | 0.007         |
| 273403:4924 | 05/14/16 03:05:27 | 53   | 53   | 0.002          | 0.002         |
| 273404:4924 | 05/14/16 03:31:50 | 18   | 18   | 0.001          | 0.001         |
| 273405:4924 | 05/14/16 03:42:33 | 24   | 24   | 0.001          | 0.001         |
| 273406:4924 | 05/14/16 03:56:09 | 112  | 112  | 0.004          | 0.004         |
| 273408:4924 | 05/14/16 04:52:04 | 6    | 6    | 0.000          | 0.000         |
| 273409:4924 | 05/14/16 04:56:41 | 309  | 309  | 0.011          | 0.009         |
| 273410:4924 | 05/14/16 06:59:49 | 90   | 90   | 0.003          | 0.003         |
| 273411:4924 | 05/14/16 07:38:50 | 29   | 29   | 0.001          | 0.001         |
| 273425:4925 | 05/14/16 11:17:57 | 671  | 671  | 0.028          | 0.027         |
| 273446:4926 | 05/14/16 20:06:55 | 33   | 33   | 0.002          | 0.002         |
| 273447:4926 | 05/14/16 20:26:09 | 411  | 411  | 0.027          | 0.026         |
| 273448:4926 | 05/14/16 23:11:51 | 391  | 391  | 0.024          | 0.023         |
| 273449:4926 | 05/15/16 01:48:09 | 214  | 214  | 0.012          | 0.012         |
| 273450:4926 | 05/15/16 03:19:37 | 643  | 643  | 0.034          | 0.032         |
| 273492:4930 | 05/16/16 09:07:35 | 265  | 265  | 0.013          | 0.012         |
| 273493:4930 | 05/16/16 10:54:39 | 233  | 233  | 0.011          | 0.011         |
| 273494:4930 | 05/16/16 12:28:40 | 192  | 192  | 0.009          | 0.008         |
| 273502:4935 | 05/16/16 20:00:07 | 989  | 989  | 0.049          | 0.047         |
