#Data tag : v1 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+------+----------------+---------------+
| 278820:5199 | 08/14/16 11:00:51 | 1517 | 1517 | 0.297          | 0.285         |
| 278822:5199 | 08/14/16 21:52:47 | 1627 | 1627 | 0.198          | 0.191         |
| 278873:5205 | 08/15/16 23:25:45 | 60   | 60   | 0.011          | 0.002         |
| 278874:5205 | 08/15/16 23:51:53 | 477  | 477  | 0.086          | 0.081         |
| 278875:5205 | 08/16/16 03:01:20 | 833  | 833  | 0.120          | 0.115         |
| 278923:5206 | 08/16/16 12:16:32 | 413  | 413  | 0.102          | 0.098         |
| 278957:5209 | 08/16/16 21:31:36 | 149  | 149  | 0.037          | 0.036         |
| 278962:5210 | 08/17/16 01:08:31 | 341  | 341  | 0.081          | 0.075         |
| 278963:5210 | 08/17/16 03:24:57 | 174  | 174  | 0.038          | 0.037         |
| 278969:5211 | 08/17/16 07:16:52 | 1386 | 1386 | 0.293          | 0.281         |
| 278975:5211 | 08/17/16 16:23:16 | 848  | 848  | 0.126          | 0.120         |
| 278976:5211 | 08/17/16 21:58:16 | 20   | 20   | 0.003          | 0.003         |
| 278986:5213 | 08/18/16 04:02:59 | 129  | 129  | 0.033          | 0.031         |
| 279024:5219 | 08/18/16 22:31:53 | 301  | 301  | 0.052          | 0.049         |
| 279029:5219 | 08/19/16 02:19:40 | 260  | 260  | 0.040          | 0.038         |
| 279071:5222 | 08/19/16 15:40:07 | 174  | 174  | 0.023          | 0.023         |
| 279080:5223 | 08/19/16 22:42:50 | 157  | 157  | 0.013          | 0.013         |
| 279115:5229 | 08/20/16 22:08:09 | 407  | 407  | 0.087          | 0.084         |
| 279116:5229 | 08/21/16 01:36:03 | 448  | 448  | 0.094          | 0.090         |
| 279479:5247 | 08/25/16 04:33:24 | 105  | 105  | 0.006          | 0.006         |
| 279588:5251 | 08/25/16 21:08:11 | 1160 | 1160 | 0.236          | 0.227         |
| 279653:5253 | 08/26/16 14:05:52 | 181  | 181  | 0.045          | 0.043         |
| 279654:5253 | 08/26/16 15:21:58 | 1245 | 1245 | 0.247          | 0.239         |
| 279656:5253 | 08/26/16 23:49:40 | 43   | 43   | 0.007          | 0.006         |
| 279658:5253 | 08/27/16 01:35:19 | 712  | 712  | 0.096          | 0.093         |
| 279667:5254 | 08/27/16 09:08:23 | 966  | 966  | 0.214          | 0.207         |
| 279681:5256 | 08/27/16 21:57:02 | 28   | 28   | 0.007          | 0.007         |
| 279682:5256 | 08/27/16 22:11:02 | 33   | 33   | 0.009          | 0.008         |
| 279683:5256 | 08/27/16 22:32:16 | 26   | 26   | 0.007          | 0.006         |
| 279684:5256 | 08/27/16 22:46:58 | 22   | 22   | 0.005          | 0.005         |
| 279685:5256 | 08/27/16 23:07:12 | 208  | 208  | 0.050          | 0.048         |
| 279691:5257 | 08/28/16 03:41:26 | 43   | 43   | 0.010          | 0.010         |
| 279694:5257 | 08/28/16 04:03:09 | 2235 | 2235 | 0.417          | 0.405         |
| 279715:5258 | 08/28/16 22:01:34 | 577  | 577  | 0.132          | 0.127         |
| 279716:5258 | 08/29/16 02:17:06 | 1638 | 1638 | 0.262          | 0.255         |
| 279760:5261 | 08/29/16 20:21:24 | 655  | 655  | 0.157          | 0.152         |
| 279766:5261 | 08/30/16 01:08:36 | 1689 | 1689 | 0.276          | 0.268         |
| 279767:5261 | 08/30/16 12:08:03 | 776  | 776  | 0.092          | 0.090         |
| 279794:5264 | 08/30/16 23:41:02 | 1024 | 1024 | 0.228          | 0.222         |
| 279823:5265 | 08/31/16 10:00:39 | 335  | 335  | 0.084          | 0.081         |
| 279841:5266 | 08/31/16 15:23:17 | 2040 | 2040 | 0.391          | 0.379         |
| 279844:5267 | 09/01/16 07:21:16 | 224  | 224  | 0.059          | 0.056         |
| 279887:5270 | 09/01/16 23:20:52 | 316  | 316  | 0.076          | 0.073         |
| 279931:5274 | 09/02/16 11:37:39 | 2934 | 2934 | 0.488          | 0.474         |
| 279966:5275 | 09/03/16 09:20:25 | 363  | 363  | 0.096          | 0.092         |
| 279975:5276 | 09/03/16 14:45:09 | 1024 | 1024 | 0.246          | 0.237         |
| 279993:5277 | 09/04/16 00:23:27 | 72   | 72   | 0.019          | 0.018         |
| 279994:5277 | 09/04/16 00:56:48 | 47   | 47   | 0.013          | 0.012         |
| 280013:5277 | 09/04/16 03:35:47 | 25   | 25   | 0.006          | 0.006         |
| 280015:5277 | 09/04/16 03:55:19 | 572  | 572  | 0.119          | 0.115         |
| 280016:5277 | 09/04/16 07:42:16 | 149  | 149  | 0.027          | 0.026         |
| 280017:5277 | 09/04/16 08:45:47 | 608  | 608  | 0.101          | 0.098         |
| 280018:5277 | 09/04/16 12:47:05 | 1281 | 1281 | 0.163          | 0.159         |
| 280020:5277 | 09/04/16 21:15:15 | 45   | 45   | 0.005          | 0.005         |
| 280024:5277 | 09/04/16 21:47:39 | 427  | 427  | 0.043          | 0.042         |
| 280187:5279 | 09/05/16 20:24:23 | 57   | 57   | 0.014          | 0.013         |
| 280188:5279 | 09/05/16 20:50:25 | 245  | 245  | 0.064          | 0.061         |
| 280191:5279 | 09/05/16 22:40:17 | 897  | 897  | 0.185          | 0.178         |
| 280194:5279 | 09/06/16 06:00:49 | 238  | 238  | 0.037          | 0.036         |
| 280242:5282 | 09/06/16 15:43:40 | 625  | 625  | 0.153          | 0.146         |
| 280249:5282 | 09/06/16 19:52:07 | 1432 | 1432 | 0.246          | 0.238         |
| 280251:5282 | 09/07/16 05:14:58 | 371  | 371  | 0.048          | 0.047         |
| 280327:5287 | 09/08/16 08:23:13 | 37   | 37   | 0.009          | 0.009         |
| 280330:5287 | 09/08/16 08:46:53 | 857  | 857  | 0.192          | 0.184         |
| 280349:5287 | 09/08/16 14:27:22 | 620  | 620  | 0.107          | 0.104         |
| 280363:5287 | 09/08/16 18:47:24 | 359  | 359  | 0.052          | 0.050         |
| 280364:5287 | 09/08/16 21:09:57 | 1349 | 1349 | 0.161          | 0.156         |
| 280383:5288 | 09/09/16 08:41:13 | 2    | 2    | 0.001          | 0.000         |
| 280384:5288 | 09/09/16 08:49:12 | 33   | 33   | 0.008          | 0.008         |
| 280385:5288 | 09/09/16 09:11:36 | 2012 | 2012 | 0.377          | 0.364         |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/fb) | totrecorded(/fb) |
+-------+------+-------+-------+-------------------+------------------+
| 32    | 70   | 42683 | 42683 | 7.828             | 7.540            |
+-------+------+-------+-------+-------------------+------------------+

#Check JSON:
#(run,ls) in json but not in results: []
