#Data tag : v1 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+------+----------------+---------------+
| 281613:5331 | 09/25/16 06:03:32 | 795  | 795  | 0.011          | 0.010         |
| 281639:5338 | 09/26/16 07:45:13 | 132  | 132  | 0.020          | 0.019         |
| 281641:5338 | 09/26/16 09:34:34 | 319  | 319  | 0.041          | 0.039         |
| 281693:5339 | 09/26/16 16:57:00 | 2191 | 2191 | 0.387          | 0.375         |
| 281707:5340 | 09/27/16 09:47:29 | 950  | 950  | 0.222          | 0.213         |
| 281726:5340 | 09/27/16 16:14:38 | 288  | 288  | 0.051          | 0.049         |
| 281727:5340 | 09/27/16 18:10:03 | 1605 | 1605 | 0.208          | 0.202         |
| 281797:5345 | 09/28/16 12:04:48 | 2052 | 2052 | 0.410          | 0.396         |
| 281975:5351 | 09/30/16 03:23:12 | 215  | 215  | 0.058          | 0.053         |
| 281976:5351 | 09/30/16 04:48:03 | 2166 | 2166 | 0.352          | 0.339         |
| 282033:5352 | 09/30/16 21:30:43 | 36   | 36   | 0.009          | 0.008         |
| 282034:5352 | 09/30/16 21:48:05 | 33   | 33   | 0.009          | 0.009         |
| 282035:5352 | 09/30/16 22:03:01 | 40   | 40   | 0.011          | 0.009         |
| 282037:5352 | 09/30/16 22:24:14 | 1861 | 1861 | 0.344          | 0.330         |
| 282092:5355 | 10/02/16 13:49:37 | 1784 | 1784 | 0.306          | 0.296         |
| 282708:5391 | 10/09/16 08:39:30 | 8    | 8    | 0.002          | 0.002         |
| 282710:5391 | 10/09/16 08:49:08 | 3    | 3    | 0.001          | 0.000         |
| 282712:5391 | 10/09/16 09:00:13 | 60   | 60   | 0.017          | 0.016         |
| 282730:5393 | 10/09/16 12:41:53 | 76   | 76   | 0.022          | 0.020         |
| 282731:5393 | 10/09/16 13:13:59 | 172  | 172  | 0.050          | 0.047         |
| 282732:5393 | 10/09/16 14:23:16 | 69   | 69   | 0.019          | 0.018         |
| 282733:5393 | 10/09/16 14:52:26 | 177  | 177  | 0.044          | 0.043         |
| 282734:5393 | 10/09/16 16:03:11 | 327  | 327  | 0.073          | 0.070         |
| 282735:5393 | 10/09/16 18:12:39 | 1819 | 1819 | 0.277          | 0.269         |
| 282800:5394 | 10/10/16 14:17:15 | 377  | 377  | 0.096          | 0.093         |
| 282807:5394 | 10/10/16 16:48:03 | 326  | 326  | 0.074          | 0.070         |
| 282814:5394 | 10/10/16 18:58:58 | 1843 | 1843 | 0.285          | 0.276         |
| 282842:5395 | 10/11/16 10:34:00 | 80   | 80   | 0.024          | 0.023         |
| 282917:5401 | 10/12/16 01:27:07 | 74   | 74   | 0.019          | 0.018         |
| 282918:5401 | 10/12/16 02:00:22 | 51   | 51   | 0.013          | 0.013         |
| 282919:5401 | 10/12/16 02:23:36 | 243  | 243  | 0.059          | 0.057         |
| 282922:5401 | 10/12/16 05:09:33 | 131  | 131  | 0.027          | 0.025         |
